index,Unnamed: 0,itemid,hasbird,filename,primary_label,filepath,frames,sr,duration,fold,0,1,preds
5,5,38232,0,38232.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/38232.wav.npy,441000,44100,10.0,0,0.7253507,0.2746493,0
9,9,127302,0,127302.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/127302.wav.npy,441000,44100,10.0,0,0.52186424,0.47813576,0
10,10,24950,0,24950.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/24950.wav.npy,441000,44100,10.0,0,0.73012966,0.26987034,0
13,13,86729,0,86729.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/86729.wav.npy,441000,44100,10.0,0,0.7211038,0.2788962,0
17,17,124684,0,124684.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/124684.wav.npy,441000,44100,10.0,0,0.7304026,0.26959738,0
20,20,102553,0,102553.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/102553.wav.npy,441000,44100,10.0,0,0.65957975,0.34042028,0
26,26,77649,0,77649.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/77649.wav.npy,441000,44100,10.0,0,0.7019105,0.2980895,0
30,30,192790,0,192790.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/192790.wav.npy,441000,44100,10.0,0,0.5763183,0.42368174,0
32,32,71838,1,71838.wav,bird,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/bird/71838.wav.npy,441000,44100,10.0,0,0.3177935,0.68220645,1
42,42,166175,1,166175.wav,bird,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/bird/166175.wav.npy,441000,44100,10.0,0,0.7225958,0.2774042,0
65,65,32479,1,32479.wav,bird,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/bird/32479.wav.npy,441000,44100,10.0,0,0.27685457,0.7231454,1
71,71,107636,0,107636.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/107636.wav.npy,441000,44100,10.0,0,0.72961074,0.27038926,0
80,80,37798,1,37798.wav,bird,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/bird/37798.wav.npy,441000,44100,10.0,0,0.35410643,0.6458935,1
87,87,173444,1,173444.wav,bird,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/bird/173444.wav.npy,441000,44100,10.0,0,0.65418434,0.34581563,0
94,94,45923,0,45923.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/45923.wav.npy,441000,44100,10.0,0,0.72693795,0.27306205,0
96,96,156363,0,156363.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/156363.wav.npy,441000,44100,10.0,0,0.7149757,0.28502426,0
105,105,91267,0,91267.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/91267.wav.npy,441000,44100,10.0,0,0.72928,0.27072003,0
107,107,39652,1,39652.wav,bird,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/bird/39652.wav.npy,441000,44100,10.0,0,0.2768148,0.72318524,1
109,109,124679,0,124679.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/124679.wav.npy,441000,44100,10.0,0,0.7276093,0.27239072,0
111,111,142335,0,142335.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/142335.wav.npy,441000,44100,10.0,0,0.7244913,0.27550873,0
115,115,68152,0,68152.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/68152.wav.npy,441000,44100,10.0,0,0.7294195,0.2705805,0
117,117,146863,0,146863.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/146863.wav.npy,441000,44100,10.0,0,0.7267897,0.27321035,0
118,118,164378,0,164378.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/164378.wav.npy,441000,44100,10.0,0,0.7276302,0.27236974,0
122,122,63742,0,63742.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/63742.wav.npy,441000,44100,10.0,0,0.72561735,0.2743827,0
127,127,23415,0,23415.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/23415.wav.npy,441000,44100,10.0,0,0.7195479,0.28045204,0
134,134,91476,0,91476.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/91476.wav.npy,441000,44100,10.0,0,0.7275826,0.2724174,0
137,137,73116,0,73116.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/73116.wav.npy,441000,44100,10.0,0,0.7309899,0.26901013,0
141,141,147777,0,147777.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/147777.wav.npy,441000,44100,10.0,0,0.52006394,0.47993612,0
148,148,179678,0,179678.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/179678.wav.npy,441000,44100,10.0,0,0.7205388,0.27946123,0
155,155,191737,1,191737.wav,bird,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/bird/191737.wav.npy,441000,44100,10.0,0,0.66329825,0.3367018,0
158,158,109657,1,109657.wav,bird,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/bird/109657.wav.npy,441000,44100,10.0,0,0.27921492,0.7207851,1
162,162,72233,1,72233.wav,bird,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/bird/72233.wav.npy,441000,44100,10.0,0,0.3028711,0.69712883,1
165,165,88409,0,88409.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/88409.wav.npy,441000,44100,10.0,0,0.73094445,0.26905555,0
172,172,109373,0,109373.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/109373.wav.npy,441000,44100,10.0,0,0.72667646,0.27332348,0
174,174,172519,0,172519.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/172519.wav.npy,441000,44100,10.0,0,0.7308226,0.26917738,0
179,179,11692,0,11692.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/11692.wav.npy,441000,44100,10.0,0,0.7247964,0.27520362,0
180,180,100302,0,100302.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/100302.wav.npy,441000,44100,10.0,0,0.6747345,0.3252655,0
181,181,90352,0,90352.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/90352.wav.npy,441000,44100,10.0,0,0.7295769,0.27042314,0
182,182,56875,0,56875.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/56875.wav.npy,441000,44100,10.0,0,0.724947,0.275053,0
192,192,147599,0,147599.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/147599.wav.npy,441000,44100,10.0,0,0.73101234,0.2689877,0
201,201,127234,0,127234.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/127234.wav.npy,441000,44100,10.0,0,0.7309885,0.26901147,0
211,211,112535,1,112535.wav,bird,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/bird/112535.wav.npy,441000,44100,10.0,0,0.3449873,0.6550127,1
218,218,62166,0,62166.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/62166.wav.npy,441000,44100,10.0,0,0.7216586,0.2783414,0
219,219,164939,0,164939.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/164939.wav.npy,441000,44100,10.0,0,0.72810304,0.27189693,0
226,226,165048,1,165048.wav,bird,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/bird/165048.wav.npy,441000,44100,10.0,0,0.56372577,0.43627426,0
233,233,99437,0,99437.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/99437.wav.npy,441000,44100,10.0,0,0.6205697,0.37943026,0
240,240,121554,1,121554.wav,bird,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/bird/121554.wav.npy,441000,44100,10.0,0,0.7305531,0.2694469,0
243,243,25380,0,25380.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/25380.wav.npy,441000,44100,10.0,0,0.7304356,0.26956442,0
249,249,160911,0,160911.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/160911.wav.npy,441000,44100,10.0,0,0.72732294,0.27267706,0
257,257,168049,0,168049.wav,nocall,/home/next/Quantum/Quantum-machine-learning-for-high-dimensional-data/input/nocall/168049.wav.npy,441000,44100,10.0,0,0.7307083,0.2692917,0
