index,Unnamed: 0,itemid,hasbird,filename,primary_label,filepath,frames,sr,duration,fold,0,1,preds
5,5,38232,0,38232.wav,nocall,../input/nocall/38232.wav.npy,441000,44100,10.0,0,0.7007202,0.29927978,0
9,9,127302,0,127302.wav,nocall,../input/nocall/127302.wav.npy,441000,44100,10.0,0,0.687698,0.312302,0
10,10,24950,0,24950.wav,nocall,../input/nocall/24950.wav.npy,441000,44100,10.0,0,0.7212898,0.27871022,0
13,13,86729,0,86729.wav,nocall,../input/nocall/86729.wav.npy,441000,44100,10.0,0,0.72157806,0.27842194,0
17,17,124684,0,124684.wav,nocall,../input/nocall/124684.wav.npy,441000,44100,10.0,0,0.72029084,0.2797092,0
20,20,102553,0,102553.wav,nocall,../input/nocall/102553.wav.npy,441000,44100,10.0,0,0.6194972,0.38050285,0
26,26,77649,0,77649.wav,nocall,../input/nocall/77649.wav.npy,441000,44100,10.0,0,0.7051182,0.2948818,0
30,30,192790,0,192790.wav,nocall,../input/nocall/192790.wav.npy,441000,44100,10.0,0,0.5745986,0.42540133,0
32,32,71838,1,71838.wav,bird,../input/bird/71838.wav.npy,441000,44100,10.0,0,0.340544,0.6594561,1
42,42,166175,1,166175.wav,bird,../input/bird/166175.wav.npy,441000,44100,10.0,0,0.72145224,0.2785478,0
65,65,32479,1,32479.wav,bird,../input/bird/32479.wav.npy,441000,44100,10.0,0,0.28418788,0.71581215,1
71,71,107636,0,107636.wav,nocall,../input/nocall/107636.wav.npy,441000,44100,10.0,0,0.72254443,0.2774556,0
80,80,37798,1,37798.wav,bird,../input/bird/37798.wav.npy,441000,44100,10.0,0,0.29288125,0.7071187,1
87,87,173444,1,173444.wav,bird,../input/bird/173444.wav.npy,441000,44100,10.0,0,0.68806326,0.31193674,0
94,94,45923,0,45923.wav,nocall,../input/nocall/45923.wav.npy,441000,44100,10.0,0,0.7091841,0.29081583,0
96,96,156363,0,156363.wav,nocall,../input/nocall/156363.wav.npy,441000,44100,10.0,0,0.7202947,0.27970526,0
105,105,91267,0,91267.wav,nocall,../input/nocall/91267.wav.npy,441000,44100,10.0,0,0.7190312,0.28096873,0
107,107,39652,1,39652.wav,bird,../input/bird/39652.wav.npy,441000,44100,10.0,0,0.48911297,0.510887,1
109,109,124679,0,124679.wav,nocall,../input/nocall/124679.wav.npy,441000,44100,10.0,0,0.7202948,0.27970523,0
111,111,142335,0,142335.wav,nocall,../input/nocall/142335.wav.npy,441000,44100,10.0,0,0.7147155,0.28528452,0
115,115,68152,0,68152.wav,nocall,../input/nocall/68152.wav.npy,441000,44100,10.0,0,0.7187892,0.28121075,0
117,117,146863,0,146863.wav,nocall,../input/nocall/146863.wav.npy,441000,44100,10.0,0,0.71413046,0.2858695,0
118,118,164378,0,164378.wav,nocall,../input/nocall/164378.wav.npy,441000,44100,10.0,0,0.7236098,0.27639017,0
122,122,63742,0,63742.wav,nocall,../input/nocall/63742.wav.npy,441000,44100,10.0,0,0.72311485,0.27688512,0
127,127,23415,0,23415.wav,nocall,../input/nocall/23415.wav.npy,441000,44100,10.0,0,0.70951325,0.29048678,0
134,134,91476,0,91476.wav,nocall,../input/nocall/91476.wav.npy,441000,44100,10.0,0,0.69045675,0.30954325,0
137,137,73116,0,73116.wav,nocall,../input/nocall/73116.wav.npy,441000,44100,10.0,0,0.72240484,0.27759516,0
141,141,147777,0,147777.wav,nocall,../input/nocall/147777.wav.npy,441000,44100,10.0,0,0.62292856,0.3770714,0
148,148,179678,0,179678.wav,nocall,../input/nocall/179678.wav.npy,441000,44100,10.0,0,0.7149449,0.28505513,0
155,155,191737,1,191737.wav,bird,../input/bird/191737.wav.npy,441000,44100,10.0,0,0.6295569,0.3704431,0
158,158,109657,1,109657.wav,bird,../input/bird/109657.wav.npy,441000,44100,10.0,0,0.31327742,0.68672264,1
162,162,72233,1,72233.wav,bird,../input/bird/72233.wav.npy,441000,44100,10.0,0,0.278572,0.72142804,1
165,165,88409,0,88409.wav,nocall,../input/nocall/88409.wav.npy,441000,44100,10.0,0,0.7252083,0.27479175,0
172,172,109373,0,109373.wav,nocall,../input/nocall/109373.wav.npy,441000,44100,10.0,0,0.6455139,0.3544861,0
174,174,172519,0,172519.wav,nocall,../input/nocall/172519.wav.npy,441000,44100,10.0,0,0.7253283,0.27467164,0
179,179,11692,0,11692.wav,nocall,../input/nocall/11692.wav.npy,441000,44100,10.0,0,0.7153999,0.28460005,0
180,180,100302,0,100302.wav,nocall,../input/nocall/100302.wav.npy,441000,44100,10.0,0,0.6616178,0.33838218,0
181,181,90352,0,90352.wav,nocall,../input/nocall/90352.wav.npy,441000,44100,10.0,0,0.7253465,0.27465343,0
182,182,56875,0,56875.wav,nocall,../input/nocall/56875.wav.npy,441000,44100,10.0,0,0.72520477,0.27479523,0
192,192,147599,0,147599.wav,nocall,../input/nocall/147599.wav.npy,441000,44100,10.0,0,0.7137567,0.28624332,0
201,201,127234,0,127234.wav,nocall,../input/nocall/127234.wav.npy,441000,44100,10.0,0,0.7178229,0.28217706,0
211,211,112535,1,112535.wav,bird,../input/bird/112535.wav.npy,441000,44100,10.0,0,0.27579537,0.7242046,1
218,218,62166,0,62166.wav,nocall,../input/nocall/62166.wav.npy,441000,44100,10.0,0,0.7225844,0.27741563,0
219,219,164939,0,164939.wav,nocall,../input/nocall/164939.wav.npy,441000,44100,10.0,0,0.7247695,0.27523056,0
226,226,165048,1,165048.wav,bird,../input/bird/165048.wav.npy,441000,44100,10.0,0,0.55247146,0.4475286,0
233,233,99437,0,99437.wav,nocall,../input/nocall/99437.wav.npy,441000,44100,10.0,0,0.59830886,0.40169114,0
240,240,121554,1,121554.wav,bird,../input/bird/121554.wav.npy,441000,44100,10.0,0,0.67947495,0.32052505,0
243,243,25380,0,25380.wav,nocall,../input/nocall/25380.wav.npy,441000,44100,10.0,0,0.720903,0.27909705,0
249,249,160911,0,160911.wav,nocall,../input/nocall/160911.wav.npy,441000,44100,10.0,0,0.72480553,0.27519447,0
257,257,168049,0,168049.wav,nocall,../input/nocall/168049.wav.npy,441000,44100,10.0,0,0.64960134,0.35039866,0
267,267,157470,0,157470.wav,nocall,../input/nocall/157470.wav.npy,441000,44100,10.0,0,0.7125269,0.28747305,0
275,275,122186,0,122186.wav,nocall,../input/nocall/122186.wav.npy,441000,44100,10.0,0,0.72162914,0.27837092,0
282,282,69004,0,69004.wav,nocall,../input/nocall/69004.wav.npy,441000,44100,10.0,0,0.7196592,0.2803408,0
287,287,5204,1,5204.wav,bird,../input/bird/5204.wav.npy,441000,44100,10.0,0,0.35724077,0.6427592,1
289,289,101319,0,101319.wav,nocall,../input/nocall/101319.wav.npy,441000,44100,10.0,0,0.7247832,0.27521682,0
293,293,19030,0,19030.wav,nocall,../input/nocall/19030.wav.npy,441000,44100,10.0,0,0.72505856,0.2749414,0
310,310,58386,0,58386.wav,nocall,../input/nocall/58386.wav.npy,441000,44100,10.0,0,0.7127675,0.28723252,0
314,314,48652,0,48652.wav,nocall,../input/nocall/48652.wav.npy,441000,44100,10.0,0,0.711667,0.28833303,0
319,319,59197,0,59197.wav,nocall,../input/nocall/59197.wav.npy,441000,44100,10.0,0,0.72455525,0.27544478,0
321,321,160514,1,160514.wav,bird,../input/bird/160514.wav.npy,441000,44100,10.0,0,0.6588811,0.34111884,0
323,323,69192,0,69192.wav,nocall,../input/nocall/69192.wav.npy,441000,44100,10.0,0,0.7149445,0.28505558,0
324,324,186517,0,186517.wav,nocall,../input/nocall/186517.wav.npy,441000,44100,10.0,0,0.72492224,0.27507776,0
328,328,73617,1,73617.wav,bird,../input/bird/73617.wav.npy,441000,44100,10.0,0,0.2865275,0.7134724,1
332,332,166698,0,166698.wav,nocall,../input/nocall/166698.wav.npy,441000,44100,10.0,0,0.7170242,0.2829758,0
334,334,170835,0,170835.wav,nocall,../input/nocall/170835.wav.npy,441000,44100,10.0,0,0.67800653,0.32199347,0
335,335,46918,0,46918.wav,nocall,../input/nocall/46918.wav.npy,441000,44100,10.0,0,0.7106486,0.28935143,0
343,343,65355,0,65355.wav,nocall,../input/nocall/65355.wav.npy,441000,44100,10.0,0,0.72532403,0.27467597,0
344,344,126607,0,126607.wav,nocall,../input/nocall/126607.wav.npy,441000,44100,10.0,0,0.724792,0.27520794,0
348,348,19376,0,19376.wav,nocall,../input/nocall/19376.wav.npy,441000,44100,10.0,0,0.72535044,0.2746496,0
351,351,166426,0,166426.wav,nocall,../input/nocall/166426.wav.npy,441000,44100,10.0,0,0.72252995,0.27747008,0
355,355,118958,0,118958.wav,nocall,../input/nocall/118958.wav.npy,441000,44100,10.0,0,0.6008216,0.39917842,0
361,361,155193,0,155193.wav,nocall,../input/nocall/155193.wav.npy,441000,44100,10.0,0,0.6837534,0.31624657,0
364,364,147899,0,147899.wav,nocall,../input/nocall/147899.wav.npy,441000,44100,10.0,0,0.71780163,0.28219837,0
371,371,138459,0,138459.wav,nocall,../input/nocall/138459.wav.npy,441000,44100,10.0,0,0.72492284,0.27507713,0
